CatalogIndex,Architecture,NORAD_CAT_ID,ObjectName,TLEFile,X_TEME_km,Y_TEME_km,Z_TEME_km,VX_TEME_kms,VY_TEME_kms,VZ_TEME_kms,X_ECEF_m,Y_ECEF_m,Z_ECEF_m,VX_ECEF_mps,VY_ECEF_mps,VZ_ECEF_mps,Azimuth_deg,Elevation_deg,SlantRange_km,Mask_deg,Visible,uX,uY,uZ,TLEAge_h,SGP4Error
21,MEO,40079,O3B FM3,tle\MEO\40079\40079.tle,11937.1164782544,8135.93190089954,7.28773630294428,-2.95917799246193,4.34023105884709,0.00349767346641119,-1468383.73661374,-14371220.7992362,7263.89949973982,4177.9440915849,-426.031811538197,3.49242395914374,286.500521103731,8.11451396242544,12090.7024046762,5,1,-0.47579654389095,-0.855508391349253,0.204262187280076,24.4438884034753,0
22,MEO,40080,O3B FM7,tle\MEO\40080\40080.tle,-9543.99118168137,10834.2712025466,6.80043646810782,-3.94450440000198,-3.47335591702748,-0.00311767176832067,14434937.5425288,319027.448683211,6785.46677883173,-91.8252346134856,4201.91634267138,-3.11014143137547,68.4721792546663,15.966575544296,11314.7800522445,5,1,0.897110400283038,0.384148066806664,0.218227387082167,11.344659358263,0
23,MEO,40081,O3B FM6,tle\MEO\40081\40081.tle,1822.6561236328,14324.3882011824,11.5125927339041,-5.21336390607836,0.662361366156488,0.000130741748788149,9780980.21692632,-10622739.7291548,11483.2796854167,3090.76506508134,2847.19018384353,0.132451220819696,349.456511265238,50.4747772802389,8934.77359425547,5,1,0.615197405753531,-0.738151473548929,0.276883647136609,29.8869153633714,0
24,MEO,43231,O3B FM15,tle\MEO\43231\43231.tle,7708.81316177772,12211.7680086773,11.2034299628635,-4.44415055803332,2.80387655528137,0.00284075094954884,4372977.17841781,-13763362.5799808,11174.382134299,4003.9925140998,1273.54082085552,2.83869450622916,304.838039249605,31.4629433849282,10045.5482123742,5,1,0.00882445594790062,-0.969169520610029,0.246236815480037,15.1616006344557,0
25,MEO,43234,O3B FM13,tle\MEO\43234\43234.tle,-9546.58431229967,10835.2482154513,5.83307487101954,-3.9434185590999,-3.4732404389698,-0.00467685424278723,14437355.4356822,320381.211186824,5818.10497403325,-92.3377760105988,4200.83518180423,-4.66932526642638,68.4800639158015,15.9690137846431,11317.2582190465,5,1,0.897127604444851,0.384183568295594,0.218094124622164,11.3449994400144,0
26,MEO,44115,O3B FM18,tle\MEO\44115\44115.tle,-4134.65341957163,13834.1890583275,12.9062399084949,-5.0353963956206,-1.50553970188366,-0.00149875353969301,13244193.7212157,-5750780.73884459,12881.8165393857,1673.36840431919,3855.25346321682,-1.49373589594406,42.7778092776408,40.5135556648317,9453.87899981025,5,1,0.947744628490628,-0.182280448496334,0.261828106327675,11.0156822428107,0
27,MEO,62362,O3B MPOWER F7,tle\MEO\62362\62362.tle,344.428095996964,14431.5960489499,15.451308543153,-5.255338935837,0.123558559319298,-0.00152610289958987,10815350.7856485,-9561264.74365029,15422.7597012526,2783.13700242567,3150.99968715837,-1.52352506033239,4.50335864318567,50.8896244417758,8911.57498945385,5,1,0.732869342695565,-0.620961088861389,0.278046493696735,10.775685120374,0
28,GEO,38087,SES 4,tle\GEO\38087\38087.tle,-13106.2902316504,40065.9463891422,24.5446297516288,-2.92279385673972,-0.956509950399586,0.00117407783938418,39086346.7217081,-15789629.7320438,24474.6420362004,0.134037944788833,1.37626983742712,1.17408012921855,44.9912353944173,54.0922879744417,36819.9953476362,5,1,0.945193385071873,-0.319448880594978,0.0675416723437409,16.6611271239817,0
29,GEO,41589,EUTE 117W B,tle\GEO\41589\41589.tle,41065.7949265614,9561.36775488833,-0.893593051086681,-0.697190172744219,2.99461822843512,1.97196633338111e-05,-19144951.8262545,-37567141.0381598,-939.4318723926,0.0176349520844629,-0.0616264634530316,0.0197195353635562,276.427549458435,6.27790923471064,40986.5351338316,5,1,-0.571633645793601,-0.818308195457731,0.060055576289193,6.12596136331558,0
30,GEO,41904,STARONE D1,tle\GEO\41904\41904.tle,29238.5959565222,30377.11423353,-3.77213857822111,-2.21575174541023,2.13191612781924,0.00153863723574591,4394800.50544468,-41932687.6145761,-3851.03023687049,0.248048982815959,0.598584988771523,1.53863802747439,294.207831556629,37.3455227496189,37984.9731398669,5,1,0.00290825069936743,-0.997898933356462,0.0647244998737323,16.9556006379426,0
31,GEO,42692,SGDC,tle\GEO\42692\42692.tle,24057.2513757154,34626.7005965562,0.460215589817399,-2.52559944627917,1.75379749915209,0.000912395223824479,10983061.3201966,-40707887.4674777,376.40026686869,0.00315194263428028,0.75647219249597,0.91239655833331,302.171548259795,45.5833905310938,37368.267443763,5,1,0.179262542731813,-0.981591241497895,0.0659058069364635,27.6062817648053,0
32,GEO,43175,SES 14,tle\GEO\43175\43175.tle,5422.79713948434,41810.3053725413,8.46414656111886,-3.04948147287774,0.395230602137954,0.00138758036338953,28482690.7078701,-31084476.7632199,8378.51928851002,0.245681215073362,0.611391450118021,1.38758118031527,349.11400001101,62.8111617872626,36383.2948543781,5,1,0.66509534455242,-0.743664185357172,0.0679099556158835,13.3623160757124,0
33,GEO,43228,HISPASAT 30W-6,tle\GEO\43228\43228.tle,-7385.43776215965,41495.6560674339,26.7161197085852,-3.02838110940203,-0.539299461734674,0.00237557140601429,36494011.2200715,-21086045.4462184,26639.5544373358,1.02176510154326,2.36900291754612,2.3755744962886,31.1297501397004,59.335087591415,36532.8900917548,5,1,0.881662536372826,-0.466936012142639,0.0681317291793183,11.5662436746061,0
34,GEO,43562,TELSTAR 19V,tle\GEO\43562\43562.tle,16405.3157757135,38833.152472257,-18.9849786284306,-2.83311006400428,1.1960235806799,0.000824344767232018,19130061.0304763,-37565793.9925773,-19072.0040968963,0.663773093996021,1.20846923737053,0.824346190227214,317.143220618637,55.2029571956807,36758.4167144551,5,1,0.403872954187742,-0.912397038707585,0.0664701484374374,13.4371963217854,0
